Date      Particulars             Voucher No.       Bill No               Amount
12/04/17     BAHUBALI PHARMACEUTICALS      CR/35            328                  1316.00
13/04/17     GURUKRUPA DISTRIBUTORS, B     CR/38            182                   845.00
14/04/17     PANDURANG DRUG HOUSE          CR/39            714                   815.00
14/04/17     PANDURANG DRUG HOUSE          CR/40            697                  1337.00
14/04/17     K-MAX PHARMA.                 CR/41            1036                 1210.00
14/04/17     RAJENDRA AGENCIES             CR/42            144                  1590.00
14/04/17     APTE AGENCIES                 CR/43            2127                 1805.00
14/04/17     APTE AGENCIES                 CR/44            2152                  633.00
17/04/17     APTE AGENCIES                 CR/45            2261                 1248.00
17/04/17     SHRI BALAJI AGENCIES          CR/46            62                    740.00
17/04/17     DHANWANTRI MEDICAL STORES     CR/47            694                  1919.00
17/04/17     MANJUSHRI PHARMA              CR/48            701                  2379.00
17/04/17     GURUKRUPA DISTRIBUTORS B     CR/49            232                   633.00
17/04/17     SURYA DISTRIBUTORS            CR/50            82                   5845.00
17/04/17     BAHUBALI PHARMACEUTICALS      CR/51            501                  1556.00
17/04/17     VIVEK AGENCIES                CR/52            123                  1864.00
17/04/17     SHREE VAISHANVI DISTRIBUT     CR/53            89                    647.00
17/04/17     SHIVAM SALES SOLAPUR         CR/54            94                    595.00
17/04/17     RAJENDRA MEDICAL STORES       CR/55            128                   875.00
18/04/17     PANDURANG DRUG HOUSE          CR/56            913                   972.00
18/04/17     PANDURANG DRUG HOUSE          CR/57            892                   358.00
18/04/17     PANDURANG DRUG HOUSE          CR/58            901                   696.00
18/04/17     BAHUBALI PHARMACEUTICALS      CR/59            558                   339.00
19/04/17     METRO PHARMA                  CA/1             581                   696.00
19/04/17     SHIVLILA AGENCIES             CR/60            689                   800.00
19/04/17     RAJ DISTRIBUTORS              CR/61            152                  1628.00
19/04/17     APTE AGENCIES                 CR/62            2697                  593.00
19/04/17     PANDURANG DRUG HOUSE          CR/63            981                   742.00
19/04/17     SHIVLILA AGENCIES             CR/68            690                   663.00
19/04/17     KRISHNA DISTRIBUTORS          CR/69            476                  1364.00
19/04/17     APTE AGENCIES                 CR/70            3042                  520.00
19/04/17     APTE AGENCIES                 CR/72            3057                  731.00
20/04/17     BAHUBALI PHARMACEUTICALS      CR/64            652                  1109.00
20/04/17     GURUKRUPA DISTRIBUTORS, B     CR/65            292                  1359.00
20/04/17     SURYA DISTRIBUTORS            CR/66            106                  1033.00
20/04/17     APTE AGENCIES                 CR/67            2875                 1075.00
21/04/17     SHRI BALAJI AGENCIES          CR/71            98                    469.00
22/04/17     GURUKRUPA DISTRIBUTORS, B     CR/73            319                   510.00
22/04/17     BAHUBALI PHARMACEUTICALS      CR/74            714                  1576.00
23/04/17     RAJ DISTRIBUTORS              CR/75            188                   976.00
24/04/17     SURYA DISTRIBUTORS            CR/76            135                  1680.00
24/04/17     DHANWANTRI MEDICAL STORES     CR/77            990                  1483.00
24/04/17     AKSHAR MEDICALS               CR/78            320                  2241.00
24/04/17     RAJENDRA MEDICAL STORES       CR/79            167                   921.00
24/04/17     AKSHAR MEDICALS               CR/80            331                   401.00
24/04/17     MANJUSHRI PHARMA              CR/81            1002                  788.00
24/04/17     APTE AGENCIES                 CR/82            3445                 1311.00
25/04/17     BAHUBALI PHARMACEUTICALS      CR/83            805                  1973.00
25/04/17     BAHUBALI PHARMACEUTICALS      CR/84            812                   320.00
25/04/17     PANDURANG DRUG HOUSE          CR/85            1359                 1723.00
26/04/17     AKSHAR MEDICALS               CR/87            372                   146.00
27/04/17     GURUKRUPA DISTRIBUTORS, B     CR/86            385                   904.00
27/04/17     DHANWANTRI MEDICAL STORES     CR/88            1181                 1903.00
28/04/17     SURYA DISTRIBUTORS            CR/89            162                  3942.00
28/04/17     SAMARATH SALES                CR/90            117                   326.00
28/04/17     SHRI GANRAJ DIST.             CR/91            248                  2016.00
28/04/17     NEPTUNE MEDICAL               CA/2             145                   254.00
01/05/17     SHREE VAISHANVI DISTRIBUT     CR/92            154                   478.00
01/05/17     BAHUBALI PHARMACEUTICALS      CR/93            943                   842.00
01/05/17     APTE AGENCIES                 CR/94            4143                 1056.00
01/05/17     SHIVAM SALES, SOLAPUR         CR/95            105                   394.00
01/05/17     SANJIVANI MEDICALS BARSHI     CR/96            54                   1609.00
01/05/17     BAHUBALI PHARMACEUTICALS      CR/97            959                   557.00
01/05/17     RAJENDRA MEDICAL STORES       CR/98            200                   223.00
01/05/17     APTE AGENCIES                 CR/99            4260                  404.00
01/05/17     MANJUSHRI PHARMA              CR/100           1304                 2492.00
01/05/17     APTE AGENCIES                 CR/101           4338                  446.00
01/05/17     APTE AGENCIES                 CR/102           4298                 1182.00
01/05/17     SURAJ MEDICAL & GENERAL S     CR/103           588                  1101.00
01/05/17     RAJENDRA AGENCIES             CR/104           316                   710.00
01/05/17     GURUKRUPA DISTRIBUTORS, B     CR/105           423                  1367.00
01/05/17     APTE AGENCIES                 CR/106           4543                 2110.00
01/05/17     MANJUSHRI PHARMA              CR/107           1346                  413.00
03/05/17     PANDURANG DRUG HOUSE          CR/108           1823                  559.00
03/05/17     SURYA DISTRIBUTORS            CR/109           197                  7394.00
03/05/17     SAMARATH SALES                CR/110           146                   661.00
03/05/17     GURUKRUPA DISTRIBUTORS, B     CR/111           453                  1780.00
04/05/17     SHREE MEDICALS                CR/122           747                  2969.00
04/05/17     DHANWANTRI MEDICAL STORES     CR/123           1665                  636.00
05/05/17     SHIVLILA AGENCIES             CR/112           1343                 1573.00
06/05/17     GURUKRUPA DISTRIBUTORS, B     CR/115           483                  1053.00
06/05/17     NEPTUNE MEDICAL               CR/116           190                   446.00
06/05/17     KRISHNA DISTRIBUTORS          CR/117           895                   661.00
06/05/17     APTE AGENCIES                 CR/118           6206                 1187.00
06/05/17     METRO PHARMA                  CA/3             1165                 1394.00
06/05/17     SHIVAM SALES, SOLAPUR         CR/119           141                   552.00
07/05/17     VIVEK AGENCIES                CR/113           234                  1206.00
08/05/17     RAJ DISTRIBUTORS              CR/114           301                   912.00
08/05/17     DHANWANTRI MEDICAL STORES     CR/120           1610                 2012.00
08/05/17     APTE AGENCIES                 CR/121           5332                 1498.00
09/05/17     GURUKRUPA DISTRIBUTORS, B     CR/124           494                   770.00
09/05/17     SHIVLILA AGENCIES             CR/125           1465                 1485.00
09/05/17     SUMANT DISTRIBUTORS PVT.      CR/128           2665                 1392.00
10/05/17     BAHUBALI PHARMACEUTICALS      CR/126           1304                  797.00
10/05/17     APTE AGENCIES                 CR/127           5778                 1488.00
10/05/17     PANDURANG DRUG HOUSE          CR/129           2209                  943.00
10/05/17     GURUKRUPA DISTRIBUTORS, B     CR/130           538                   883.00
11/05/17     RAJENDRA MEDICAL STORES       CR/131           254                  1107.00
11/05/17     MANJUSHRI PHARMA              CR/132           1740                 2371.00
11/05/17     SURYA DISTRIBUTORS            CR/133           246                  2828.00
11/05/17     AKSHAR MEDICALS               CR/134           584                   676.00
11/05/17     MANJUSHRI PHARMA              CR/135           1796                  250.00
11/05/17     DHANWANTRI MEDICAL STORES     CR/136           1819                  960.00
11/05/17     KRISHNA DISTRIBUTORS          CR/137           1036                 2038.00
11/05/17     SAMARATH SALES                CA/4             163                   390.00
12/05/17     PANDURANG DRUG HOUSE          CR/138           2325                 1932.00
13/05/17     APTE AGENCIES                 CR/139           6242                 1487.00
13/05/17     METRO PHARMA                  CA/5             1402                  563.00
13/05/17     MANJUSHRI PHARMA              CR/140           1873                 1311.00
15/05/17     APTE AGENCIES                 CR/141           6371                  489.00
15/05/17     RAJENDRA AGENCIES             CR/142           501                   941.00
15/05/17     GURUKRUPA DISTRIBUTORS, B     CR/143           575                   894.00
15/05/17     METRO PHARMA                  CA/6             1448                 1155.00
15/05/17     SHRI BALAJI AGENCIES          CR/144           243                   461.00
15/05/17     MANJUSHRI PHARMA              CR/145           1908                 2519.00
17/05/17     DHANWANTRI MEDICAL STORES     CR/146           2046                 2265.00
17/05/17     APTE AGENCIES                 CR/147           6826                  828.00
17/05/17     SHIVLILA AGENCIES             CR/148           1768                  206.00
17/05/17     APTE AGENCIES                 CR/149           6788                  875.00
17/05/17     G1-ONE HEALTHCARE LLP         CR/150           29                   2238.00
17/05/17     PANDURANG DRUG HOUSE          CR/151           2612                 1467.00
18/05/17     DHANWANTRI MEDICAL STORES     CR/152           2109                  520.00
18/05/17     SURYA DISTRIBUTORS            CR/153           292                  6167.00
18/05/17     SHREE VAISHANVI DISTRIBUT     CA/7             20                   1892.00
18/05/17     SHREE VAISHANVI DISTRIBUT     CR/154           271                  1022.00
19/05/17     GURUKRUPA DISTRIBUTORS, B     CR/157           640                   583.00
20/05/17     RAJENDRA AGENCIES             CR/155           445                  1511.00
20/05/17     SHIVAM AGENCIES               CR/156           7096                  348.00
20/05/17     SURYA DISTRIBUTORS            CR/158           301                  2579.00
20/05/17     RAJENDRA AGENCIES             CR/159           578                  1921.00
20/05/17     SHIVLILA AGENCIES             CR/160           1855                 1282.00
20/05/17     RAJENDRA MEDICAL STORES       CR/161           306                   970.00
20/05/17     APTE AGENCIES                 CR/162           7114                 3167.00
20/05/17     SURAJ MEDICAL & GENERAL S     CR/163           932                  1014.00
20/05/17     SHREE MEDICALS                CR/164           1069                  757.00
20/05/17     MANJUSHRI PHARMA              CR/165           2142                  703.00
20/05/17     BAHUBALI PHARMACEUTICALS      CR/166           1686                 1617.00
20/05/17     MANJUSHRI PHARMA              CR/167           2224                 3902.00
22/05/17     APTE AGENCIES                 CR/168           7472                 1937.00
22/05/17     SAMARATH SALES                CR/173           197                   260.00
22/05/17     RAJENDRA MEDICAL STORES       CR/174           315                   759.00
23/05/17     BAHUBALI PHARMACEUTICALS      CR/169           1642                 1237.00
23/05/17     VIVEK AGENCIES                CR/170           325                   667.00
23/05/17     PANDURANG DRUG HOUSE          CR/171           2802                 1915.00
23/05/17     SURAJ MEDICAL & GENERAL S     CR/172           946                   661.00
23/05/17     APTE AGENCIES                 CR/175           7667                  715.00
23/05/17     APTE AGENCIES                 CR/176           7794                  756.00
23/05/17     SAMARATH SALES                CR/177           199                   519.00
23/05/17     SURYA DISTRIBUTORS            CR/178           331                  7020.00
24/05/17     PANDURANG DRUG HOUSE          CR/179           3041                  906.00
24/05/17     BAHUBALI PHARMACEUTICALS      CR/180           1761                  692.00
24/05/17     DHANWANTRI MEDICAL STORES     CR/181           2395                  677.00
24/05/17     MANJUSHRI PHARMA              CR/182           2375                  970.00
24/05/17     DHANWANTRI MEDICAL STORES     CR/183           2455                 1739.00
24/05/17     SANJIVANI AGENCIES            CA/8             468                   391.00
25/05/17     RAJENDRA AGENCIES             CR/202           637                  2627.00
25/05/17     RAJENDRA AGENCIES             CR/203           673                  1122.00
26/05/17     SHIVLILA AGENCIES             CR/184           2144                 1982.00
26/05/17     KRISHNA DISTRIBUTORS          CR/185           1365                 1748.00
26/05/17     APTE AGENCIES                 CR/186           8231                 1123.00
26/05/17     PANDURANG DRUG HOUSE          CR/187           3163                 1962.00
26/05/17     BAHUBALI PHARMACEUTICALS      CR/188           1806                  914.00
26/05/17     RAJENDRA MEDICAL STORES       CR/189           341                  1280.00
27/05/17     VIVEK AGENCIES                CR/190           374                  1762.00
27/05/17     RAJ DISTRIBUTORS              CR/191           55                    461.00
27/05/17     GURUKRUPA DISTRIBUTORS, B     CR/192           757                  1463.00
27/05/17     MANJUSHRI PHARMA              CR/193           2527                  386.00
27/05/17     MANJUSHRI PHARMA              CR/194           2497                  787.00
27/05/17     SHREE MEDICALS                CR/195           1234                 1008.00
27/05/17     SHIVLILA AGENCIES             CR/196           2205                  888.00
27/05/17     SURYA DISTRIBUTORS            CR/197           358                   396.00
27/05/17     SURYA DISTRIBUTORS            CR/198           357                  1722.00
27/05/17     KRISHNA DISTRIBUTORS          CR/199           1402                 1163.00
27/05/17     NEPTUNE MEDICAL               CA/9             318                   104.00
31/05/17     APTE AGENCIES                 CR/200           8803                 1367.00
31/05/17     RAJENDRA AGENCIES             CR/201           712                  2366.00
01/06/17     SHRI BALAJI AGENCIES          CR/204           323                   692.00
01/06/17     MANJUSHRI PHARMA              CR/205           2666                 1547.00
01/06/17     SAMARATH SALES                CR/206           257                   355.00
01/06/17     APTE AGENCIES                 CR/207           8980                  784.00
01/06/17     SURYA DISTRIBUTORS            CR/210           379                 12485.00
01/06/17     SURYA DISTRIBUTORS            CR/211           380                  1988.00
01/06/17     SHREE VAISHANVI DISTRIBUT     CR/212           354                   285.00
01/06/17     GURUKRUPA DISTRIBUTORS, B     CR/213           794                  1056.00
01/06/17     SHIVLILA AGENCIES             CR/214           2383                  844.00
02/06/17     PANDURANG DRUG HOUSE          CR/208           3457                 1324.00
02/06/17     GURUKRUPA DISTRIBUTORS, B     CR/209           780                   946.00
02/06/17     DHANWANTRI MEDICAL STORES     CR/215           2737                 3831.00
02/06/17     PANDURANG DRUG HOUSE          CR/216           3522                  650.00
02/06/17     APTE AGENCIES                 CR/217           9177                 1004.00
03/06/17     SURAJ MEDICAL & GENERAL S     CR/218           1229                 1657.00
03/06/17     MANJUSHRI PHARMA              CR/219           2762                  667.00
03/06/17     APTE AGENCIES                 CR/220           9378                  860.00
03/06/17     VIVEK AGENCIES                CR/221           421                   667.00
03/06/17     GURUKRUPA DISTRIBUTORS, B     CR/222           828                  1211.00
03/06/17     APTE AGENCIES                 CR/223           9309                  513.00
03/06/17     GURUKRUPA DISTRIBUTORS, B     CR/224           834                   931.00
03/06/17     KRISHNA DISTRIBUTORS          CR/225           1589                  519.00
03/06/17     APTE AGENCIES                 CR/226           9429                 1056.00
05/06/17     MANJUSHRI PHARMA              CR/227           2829                  324.00
05/06/17     MANJUSHRI PHARMA              CR/228           2860                 5107.00
05/06/17     SHIVLILA AGENCIES             CR/229           2500                  686.00
06/06/17     RAJENDRA AGENCIES             CR/230           784                  1930.00
06/06/17     SHREE MEDICALS                CR/246           1419                  759.00
07/06/17     SHIVLILA AGENCIES             CR/231           2553                  695.00
07/06/17     PANDURANG DRUG HOUSE          CR/232           3762                 1852.00
07/06/17     SURYA DISTRIBUTORS            CR/233           416                  3276.00
07/06/17     MANJUSHRI PHARMA              CR/234           2912                 1611.00
08/06/17     SHREE MEDICALS                CR/279           1471                 1145.00
09/06/17     GURUKRUPA DISTRIBUTORS, B     CR/235           899                   542.00
09/06/17     SUMANT DISTRIBUTORS PVT.      CR/236           4629                 1543.00
09/06/17     K-MAX PHARMA.                 CR/237           1146                  630.00
09/06/17     RAJENDRA MEDICAL STORES       CR/238           412                  1277.00
09/06/17     SHRI BALAJI AGENCIES          CR/239           355                  2731.00
09/06/17     METRO PHARMA                  CA/10            2280                 1063.00
09/06/17     KRISHNA DISTRIBUTORS          CR/240           1636                 1965.00
12/06/17     SHIVLILA AGENCIES             CR/242           2741                  480.00
12/06/17     MANJUSHRI PHARMA              CR/245           3096                 3024.00
12/06/17     BAHUBALI PHARMACEUTICALS      CR/247           2274                  482.00
12/06/17     GURUKRUPA DISTRIBUTORS, B     CR/248           945                   476.00
12/06/17     RAJ DISTRIBUTORS              CR/249           180                   915.00
12/06/17     GURUKRUPA DISTRIBUTORS, B     CR/250           936                   519.00
13/06/17     BAHUBALI PHARMACEUTICALS      CR/241           2311                  444.00
13/06/17     SURAJ MEDICAL & GENERAL S     CR/243           1377                 1499.00
13/06/17     APTE AGENCIES                 CR/244           10693                 149.00
13/06/17     SHREE VAISHANVI DISTRIBUT     CR/251           430                  1500.00
13/06/17     METRO PHARMA                  CA/11            2448                  219.00
13/06/17     NEPTUNE MEDICAL               CR/252           405                   849.00
13/06/17     MANJUSHRI PHARMA              CR/253           3169                 1296.00
13/06/17     KRISHNA DISTRIBUTORS          CR/254           1815                  603.00
14/06/17     SURYA DISTRIBUTORS            CR/255           464                  2561.00
14/06/17     PANDURANG DRUG HOUSE          CR/256           4166                 1785.00
14/06/17     RAJENDRA MEDICAL STORES       CR/257           454                  1309.00
14/06/17     SHRI BALAJI AGENCIES          CR/258           404                   344.00
14/06/17     SAMARATH SALES                CR/259           305                   967.00
16/06/17     BAHUBALI PHARMACEUTICALS      CR/284           2415                 1237.00
16/06/17     MANJUSHRI PHARMA              CR/285           3501                 1583.00
17/06/17     GURUKRUPA DISTRIBUTORS, B     CR/264           1013                 1408.00
17/06/17     VIVEK AGENCIES                CR/266           502                  2157.00
17/06/17     MANJUSHRI PHARMA              CR/267           3373                 2144.00
17/06/17     BAHUBALI PHARMACEUTICALS      CR/268           2455                 1827.00
17/06/17     APTE AGENCIES                 CR/269           11355                 684.00
17/06/17     SHIVLILA AGENCIES             CR/270           2953                  376.00
17/06/17     GURUKRUPA DISTRIBUTORS, B     CR/271           1023                  822.00
17/06/17     PANDURANG DRUG HOUSE          CR/315           4491                  457.00
19/06/17     RAJENDRA AGENCIES             CR/260           893                  1689.00
19/06/17     MANJUSHRI PHARMA              CR/261           1298                 1061.00
19/06/17     DHANWANTRI MEDICAL STORES     CR/262           3336                 1302.00
19/06/17     APTE AGENCIES                 CR/263           11082                 271.00
19/06/17     APTE AGENCIES                 CR/265           11377                 720.00
19/06/17     DHANWANTRI MEDICAL STORES     CR/272           3451                 1944.00
19/06/17     SURAJ MEDICAL & GENERAL S     CR/273           1527                 1057.00
19/06/17     SURYA DISTRIBUTORS            CR/274           490                 10545.00
19/06/17     GURUKRUPA DISTRIBUTORS, B     CR/275           1040                  447.00
19/06/17     BAHUBALI PHARMACEUTICALS      CR/276           2512                  143.00
19/06/17     APTE AGENCIES                 CR/277           11980                1428.00
19/06/17     SHIVLILA AGENCIES             CR/278           3073                  723.00
20/06/17     GURUKRUPA DISTRIBUTORS, B     CR/280           4633                  848.00
20/06/17     SUMANT DISTRIBUTORS PVT.      CR/281           5558                  978.00
20/06/17     SHIVLILA AGENCIES             CR/282           3088                 1185.00
20/06/17     RAJENDRA AGENCIES             CR/283           945                  1034.00
20/06/17     KRISHNA DISTRIBUTORS          CR/286           1987                 1284.00
20/06/17     PANDURANG DRUG HOUSE          CR/287           4713                 1680.00
22/06/17     GURUKRUPA DISTRIBUTORS, B     CR/288           1100                  793.00
22/06/17     BAHUBALI PHARMACEUTICALS      CR/289           2510                  566.00
22/06/17     MANJUSHRI PHARMA              CR/290           1563                 2704.00
22/06/17     RAJENDRA AGENCIES             CR/291           968                   681.00
23/06/17     SURAJ MEDICAL & GENERAL S     CR/292           1629                  663.00
23/06/17     RAJ DISTRIBUTORS              CR/293           271                  2104.00
23/06/17     APTE AGENCIES                 CR/294           12325                1005.00
23/06/17     SHRI BALAJI AGENCIES          CR/295           472                  1010.00
23/06/17     SHREE VAISHANVI DISTRIBUT     CR/296           495                  1255.00
24/06/17     METRO PHARMA                  CA/12            2803                  319.00
24/06/17     DHANWANTRI MEDICAL STORES     CR/297           3742                 4531.00
24/06/17     MANJUSHRI PHARMA              CR/298           3708                 1298.00
24/06/17     GURUKRUPA DISTRIBUTORS, B     CR/299           1139                  925.00
24/06/17     BAHUBALI PHARMACEUTICALS      CR/300           2668                  319.00
26/06/17     SHREE VAISHANVI DISTRIBUT     CR/301           509                  1021.00
26/06/17     APTE AGENCIES                 CR/302           12615                 827.00
26/06/17     RAJ DISTRIBUTORS              CR/303           291                  2252.00
26/06/17     MANJUSHRI PHARMA              CR/304           3762                 1628.00
27/06/17     SHREE MEDICALS                CR/305           1848                 1607.00
27/06/17     RAJENDRA MEDICAL STORES       CR/306           513                  1213.00
27/06/17     PANDURANG DRUG HOUSE          CR/307           5035                  715.00
27/06/17     DHANWANTRI MEDICAL STORES     CR/308           3852                  783.00
27/06/17     VIVEK AGENCIES                CR/309           587                   702.00
27/06/17     SURYA DISTRIBUTORS            CR/310           533                  2774.00
27/06/17     SHIVLILA AGENCIES             CR/311           3384                  403.00
27/06/17     RAJENDRA AGENCIES             CR/312           1028                 1590.00
28/06/17     DHANWANTRI MEDICAL STORES     CR/313           3910                  481.00
28/06/17     MANJUSHRI PHARMA              CR/314           3866                 2319.00
28/06/17     SURYA DISTRIBUTORS            CR/316           541                   982.00
28/06/17     METRO PHARMA                  CA/13            2912                 1790.00
28/06/17     APTE AGENCIES                 CR/317           13121                2029.00
28/06/17     SHRI GANRAJ DIST.             CR/318           678                  1551.00
28/06/17     KRISHNA DISTRIBUTORS          CR/319           2185                  949.00
28/06/17     GURUKRUPA DISTRIBUTORS, B     CR/320           1161                  734.00
28/06/17     SHRI BALAJI AGENCIES          CR/321           478                  1793.00
28/06/17     KRISHNA DISTRIBUTORS          CR/322           2171                 1304.00
29/06/17     RAJ DISTRIBUTORS              CR/323           320                  2124.00
29/06/17     SURAJ MEDICAL & GENERAL S     CR/324           1740                  661.00
29/06/17     MANJUSHRI PHARMA              CR/325           3957                 3617.00
29/06/17     SAMARATH SALES                CR/326           405                  1496.00
29/06/17     GURUKRUPA DISTRIBUTORS, B     CR/327           1165                 1779.00
29/06/17     PANDURANG DRUG HOUSE          CR/328           5278                 1623.00
29/06/17     VIVEK AGENCIES                CR/329           602                   685.00
29/06/17     SURYA DISTRIBUTORS            CR/330           570                 27861.00
29/06/17     NEPTUNE MEDICAL               CR/334           506                  1000.00
29/06/17     NEPTUNE MEDICAL               CR/335           526                   425.00
29/06/17     NEPTUNE MEDICAL               CR/336           503                   371.00
30/06/17     MANJUSHRI PHARMA              CR/331           4046                  842.00
30/06/17     MANJUSHRI PHARMA              CR/332           4055                 2531.00
30/06/17     SURAJ MEDICAL & GENERAL S     CR/337           1796                 1776.00
30/06/17     SHIVAM SALES, SOLAPUR         CR/338           479                   864.00
30/06/17     PANDURANG DRUG HOUSE          CR/339           5562                 1758.00
30/06/17     PANDURANG DRUG HOUSE          CR/340           5571                  899.00
30/06/17     SHRI BALAJI AGENCIES          CR/341           528                   324.00
30/06/17     MANJUSHRI PHARMA              CR/342           4113                 1362.00
30/06/17     SHIVLILA AGENCIES             CR/343           3589                  624.00
04/07/17     APTE AGENCIES                 CR/333           14087                 604.00
05/07/17     KRISHNA DISTRIBUTORS          CR/344           2344                  415.00
05/07/17     BAHUBALI PHARMACEUTICAL D     CR/350           2925                 1239.00
07/07/17     SHIVLILA AGENCIES             CR/345           3768                 1879.00
07/07/17     RAJENDRA MEDICAL STORES       CR/346           573                  1662.00
07/07/17     SURAJ MEDICAL &GENERAL ST     CR/347           1846                  997.00
07/07/17     SHREE MANJUSHREE PHARMA       CR/348           4236                 1142.00
07/07/17     RAJENDRA AGENCIES BARSHI      CR/351           1144                 1792.00
07/07/17     RAJENDRA AGENCIES BARSHI      CR/352           1154                  286.00
07/07/17     RAJENDRA AGENCIES BARSHI      CR/353           1168                  544.00
07/07/17     APTE AGENCIES                 CR/358           14418                1209.00
07/07/17     APTE AGENCIES                 CR/359           14535                2165.00
08/07/17     SANJIVANI MEDICALS BARSHI     CR/349           190                  1397.00
08/07/17     SHIVAM AGENCIES, BARSHI       CR/356           7890                  922.00
08/07/17     APTE AGENCIES                 CR/357           14656                1410.00
09/07/17     RAJENDRA MEDICAL STORES       CR/354           3768                 1970.00
09/07/17     DHANWANTARI MEDICAL STORE     CR/355           4302                 1033.00
10/07/17     APTE AGENCIES                 CR/360           14950                 824.00
10/07/17     GURUKRUPA DISTRIBUTORS        CR/361           1275                  682.00
10/07/17     SANJIVANI AGENCIES            CR/362           852                   351.00
10/07/17     SHRI GANRAJ DISTRIBUTORS      CR/364           770                   594.00
10/07/17     RAJENDRA AGENCIES BARSHI      CR/365           1173                  874.00
10/07/17     DHANWANTARI MEDICAL STORE     CR/366           4421                 1624.00
11/07/17     SHIVAM AGENCIES, BARSHI       CR/371           7946                 1523.00
11/07/17     GURUKRUPA DISTRIBUTORS        CR/372           1305                 1956.00
11/07/17     SURAJ MEDICAL &GENERAL ST     CR/373           1919                  941.00
12/07/17     APTE AGENCIES                 CR/369           15380                1582.00
13/07/17     SHREE MANJUSHREE PHARMA       CR/363           4444                 2658.00
13/07/17     RAJ DISTRIBUTORS BARSHI       CR/367           432                   618.00
13/07/17     SHIVLILA AGENCIES BARSHI.     CR/368           3970                  819.00
13/07/17     BAHUBALI PHARMACEUTICAL D     CR/370           3125                  256.00
13/07/17     GURUKRUPA DISTRIBUTORS        CR/374           1320                  880.00
13/07/17     SURYA DISTRIBUTORS BARSHI     CR/375           634                  1848.00
13/07/17     RAJENDRA MEDICAL STORES       CR/381           633                  1570.00
14/07/17     KRISHNA DISTRIBUTORS          CR/376           2569                  569.00
14/07/17     SHREE MANJUSHREE PHARMA       CR/377           4627                 1468.00
14/07/17     SHRI BALAJI AGENCIES          CR/378           577                  1616.00
14/07/17     BAHUBALI PHARMACEUTICAL D     CR/379           3198                  995.00
14/07/17     DHANWANTARI MEDICAL STORE     CR/380           4570                 1860.00
14/07/17     APTE AGENCIES                 CR/382           15480                1763.00
14/07/17     APTE AGENCIES                 CR/383           15665                 625.00
14/07/17     PANDURANG DRUG HOUSE          CR/384           5983                 1025.00
14/07/17     DHANWANTARI MEDICAL STORE     CR/385           4616                  765.00
14/07/17     SHRI VAISHNAVI DISTRIBUTO     CR/386           632                   861.00
14/07/17     SHIVLILA AGENCIES BARSHI.     CR/387           4084                  887.00
14/07/17     RAJ DISTRIBUTORS BARSHI       CR/388           457                  1333.00
14/07/17     SHRI MANJUSHRI PHARMA         CR/389           4686                 1000.00
14/07/17     SURYA DISTRIBUTORS BARSHI     CR/390           641                  1393.00
